algorithm,train_file,test_file,run_id,accuracy,mse,regret,train_size,seed
orthogonal_loss_learner_splitting.py,data/train_500_4.pkl,data/test_500_4.pkl,1,0.3167,39.8607,3.7969,500,4
nonorthogonal_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,2,0.709,36.6186,0.8979,500,4
nonorthogonal_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,1,0.718,36.2023,0.8032,500,4
orthogonal_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,1,0.77,30.6947,0.5336,500,4
nonorthogonal_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,0,0.6943,36.8616,0.965,500,4
stupid_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,0,0.672,36.6503,1.1332,500,4
stupid_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,2,0.652,36.5858,1.2594,500,4
orthogonal_loss_learner_splitting.py,data/train_500_4.pkl,data/test_500_4.pkl,0,0.7313,36.6468,0.7316,500,4
stupid_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,1,0.6913,36.106,0.9604,500,4
log_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,1,0.7497,34.8323,0.6246,500,4
orthogonal_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,0,0.752,29.0266,0.5806,500,4
log_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,0,0.7487,34.0203,0.6123,500,4
log_loss_learner.py,data/train_500_4.pkl,data/test_500_4.pkl,2,0.7593,33.2556,0.5823,500,4
orthogonal_loss_learner_ybyt.py,data/train_500_4.pkl,data/test_500_4.pkl,2,0.7437,32.6834,0.6714,500,4
orthogonal_loss_learner_ybyt.py,data/train_500_4.pkl,data/test_500_4.pkl,0,0.754,32.1789,0.6087,500,4
orthogonal_loss_learner_splitting.py,data/train_500_4.pkl,data/test_500_4.pkl,2,0.6277,37.0898,1.4328,500,4
orthogonal_loss_learner_ybyt.py,data/train_500_4.pkl,data/test_500_4.pkl,1,0.7517,29.1374,0.5906,500,4
