,,accuracy,accuracy,accuracy,accuracy,mse,mse,mse,mse,regret,regret,regret,regret
,,mean,std,min,max,mean,std,min,max,mean,std,min,max
algorithm,train_size,,,,,,,,,,,,
log_loss_learner.py,500,0.704,0.0339,0.653,0.7593,20.3803,9.2048,9.9437,34.8323,0.5962,0.0833,0.4296,0.693
log_loss_learner.py,1000,0.7221,0.0423,0.6487,0.7833,18.9438,8.2786,9.3434,31.7853,0.5135,0.078,0.393,0.6092
log_loss_learner.py,2000,0.7327,0.0427,0.663,0.7877,17.788,7.569,8.9636,29.4163,0.4637,0.0773,0.3354,0.5799
log_loss_learner.py,3000,0.7392,0.0477,0.6523,0.795,17.5093,7.2251,9.0086,28.4068,0.4335,0.0704,0.3345,0.5508
log_loss_learner.py,5000,0.7488,0.0408,0.6847,0.8017,17.2212,7.2646,8.5935,28.1987,0.4067,0.0745,0.2856,0.5299
log_loss_learner.py,7000,0.7543,0.0411,0.6867,0.8023,17.0737,7.16,8.5531,27.7441,0.3841,0.0624,0.2861,0.4857
log_loss_learner.py,9000,0.757,0.0361,0.7003,0.808,16.9093,7.0996,8.3731,27.4672,0.3758,0.057,0.2809,0.4704
log_loss_learner.py,10000,0.7577,0.0364,0.6997,0.806,16.848,7.0539,8.3906,27.2914,0.3731,0.0531,0.289,0.4774
log_loss_learner.py,15000,0.7675,0.0317,0.7097,0.813,16.6472,7.033,8.2518,27.2176,0.3482,0.0491,0.2605,0.4305
log_loss_learner.py,20000,0.7644,0.0296,0.7173,0.8033,16.4776,6.9026,8.2361,26.6215,0.3331,0.0446,0.2428,0.4018
nonorthogonal_loss_learner.py,500,0.671,0.0388,0.604,0.7357,21.4778,9.8256,10.6401,36.8616,0.7644,0.1266,0.582,0.965
nonorthogonal_loss_learner.py,1000,0.7063,0.0442,0.6283,0.7703,18.4686,7.9846,8.6387,31.1273,0.5888,0.0907,0.4122,0.69
nonorthogonal_loss_learner.py,2000,0.7272,0.043,0.6607,0.7793,13.1602,4.5545,7.3721,21.5418,0.4945,0.0665,0.3974,0.5995
nonorthogonal_loss_learner.py,3000,0.733,0.0443,0.658,0.7943,12.7457,4.4857,7.0032,20.534,0.4619,0.066,0.3602,0.566
nonorthogonal_loss_learner.py,5000,0.7432,0.0396,0.684,0.7963,11.8041,3.783,6.5687,17.4548,0.4329,0.062,0.3298,0.5374
nonorthogonal_loss_learner.py,7000,0.7485,0.043,0.6803,0.8003,11.3585,3.5632,6.432,17.6051,0.4077,0.0537,0.3257,0.503
nonorthogonal_loss_learner.py,9000,0.7523,0.0365,0.692,0.8063,10.529,3.0471,6.0233,14.8514,0.3931,0.0583,0.2897,0.4983
nonorthogonal_loss_learner.py,10000,0.7511,0.0378,0.6883,0.8017,10.7382,3.2615,6.0544,16.1519,0.4006,0.0635,0.2935,0.5084
nonorthogonal_loss_learner.py,15000,0.7607,0.0323,0.7043,0.8027,9.9732,2.8912,5.5088,13.9088,0.3685,0.0526,0.274,0.4557
nonorthogonal_loss_learner.py,20000,0.7604,0.029,0.713,0.7973,9.4796,2.6708,5.4526,12.9247,0.3493,0.0459,0.2697,0.4203
orthogonal_loss_learner.py,500,0.7088,0.0404,0.643,0.77,17.9537,7.998,8.3677,30.6947,0.5656,0.0729,0.4324,0.6544
orthogonal_loss_learner.py,1000,0.7246,0.0454,0.65,0.7857,11.6188,3.1227,6.7213,15.7204,0.5006,0.0646,0.391,0.5972
orthogonal_loss_learner.py,2000,0.7368,0.0451,0.6637,0.7963,10.7944,2.8069,6.2755,13.8976,0.4483,0.0787,0.3288,0.5723
orthogonal_loss_learner.py,3000,0.7435,0.0444,0.6687,0.7977,10.3582,2.6937,6.0073,13.6138,0.4161,0.0661,0.3107,0.5196
orthogonal_loss_learner.py,5000,0.7548,0.0389,0.695,0.8083,9.8887,2.559,5.5993,12.9849,0.3864,0.0682,0.2786,0.4973
orthogonal_loss_learner.py,7000,0.7596,0.0428,0.6883,0.8057,9.5314,2.5201,5.4244,12.9419,0.3653,0.0626,0.268,0.477
orthogonal_loss_learner.py,9000,0.7656,0.0343,0.712,0.8153,9.3566,2.6456,5.3157,12.8937,0.342,0.0519,0.2513,0.4086
orthogonal_loss_learner.py,10000,0.7677,0.0306,0.723,0.8067,9.1476,2.6435,5.3213,13.5036,0.3361,0.0438,0.2566,0.392
orthogonal_loss_learner.py,15000,0.7793,0.0243,0.739,0.8143,8.5811,2.6931,4.693,12.4791,0.3051,0.0426,0.2114,0.3489
orthogonal_loss_learner.py,20000,0.7775,0.0248,0.735,0.8123,8.2895,2.5481,4.7005,11.9392,0.2808,0.0383,0.2086,0.3297
orthogonal_loss_learner_splitting.py,500,0.636,0.0973,0.3167,0.7313,21.8877,10.4104,10.2649,39.8607,1.0221,0.8129,0.4667,3.7969
orthogonal_loss_learner_splitting.py,1000,0.7083,0.0412,0.6317,0.762,18.6413,8.2907,9.0133,31.3446,0.5754,0.0654,0.4488,0.6585
orthogonal_loss_learner_splitting.py,2000,0.725,0.0407,0.6623,0.7757,12.0473,3.7493,6.7194,17.789,0.4995,0.0676,0.3606,0.596
orthogonal_loss_learner_splitting.py,3000,0.7335,0.0438,0.6587,0.7887,11.2693,3.0986,6.56,15.7964,0.4586,0.0697,0.3511,0.5665
orthogonal_loss_learner_splitting.py,5000,0.743,0.043,0.6757,0.7997,10.634,2.8759,6.1457,14.4841,0.4349,0.0789,0.316,0.5614
orthogonal_loss_learner_splitting.py,7000,0.7487,0.0419,0.6787,0.8063,10.1654,2.7694,5.9737,13.9685,0.4092,0.0667,0.3073,0.5136
orthogonal_loss_learner_splitting.py,9000,0.7524,0.0388,0.683,0.8037,9.9538,2.6269,5.8009,13.1352,0.3991,0.066,0.2981,0.5304
orthogonal_loss_learner_splitting.py,10000,0.7512,0.0378,0.6933,0.8007,9.8498,2.6558,5.7853,13.8624,0.3986,0.0626,0.2863,0.4975
orthogonal_loss_learner_splitting.py,15000,0.7591,0.0356,0.6943,0.8047,9.2921,2.4202,5.2102,12.3283,0.3749,0.061,0.2525,0.4797
orthogonal_loss_learner_splitting.py,20000,0.7601,0.0271,0.7137,0.7907,8.8852,2.4333,5.2141,12.1858,0.35,0.0451,0.2587,0.4197
orthogonal_loss_learner_ybyt.py,500,0.7005,0.0339,0.6347,0.754,18.9512,8.589,9.142,32.6834,0.6233,0.0978,0.4294,0.7489
orthogonal_loss_learner_ybyt.py,1000,0.7257,0.0453,0.6483,0.783,12.1985,3.6352,6.9998,17.2155,0.499,0.0707,0.3939,0.6085
orthogonal_loss_learner_ybyt.py,2000,0.7362,0.042,0.6677,0.7907,10.7562,2.788,6.439,14.1765,0.4511,0.0681,0.3252,0.5523
orthogonal_loss_learner_ybyt.py,3000,0.7431,0.0418,0.6723,0.792,10.4237,2.8437,6.0557,14.185,0.4203,0.0615,0.3145,0.5131
orthogonal_loss_learner_ybyt.py,5000,0.7537,0.0367,0.695,0.801,9.7327,2.5613,5.676,12.8743,0.3903,0.0625,0.2782,0.4935
orthogonal_loss_learner_ybyt.py,7000,0.7604,0.0403,0.6963,0.8093,9.2625,2.4057,5.5369,12.4477,0.3621,0.0538,0.2689,0.4435
orthogonal_loss_learner_ybyt.py,9000,0.7651,0.0286,0.7133,0.8047,9.0994,2.5461,5.2135,12.3996,0.3486,0.0502,0.2507,0.4054
orthogonal_loss_learner_ybyt.py,10000,0.764,0.0336,0.7123,0.804,8.8328,2.3188,5.0833,11.9071,0.3472,0.0545,0.2247,0.4166
orthogonal_loss_learner_ybyt.py,15000,0.7793,0.0243,0.739,0.816,8.098,2.3303,4.598,11.2776,0.305,0.0412,0.2213,0.3482
orthogonal_loss_learner_ybyt.py,20000,0.7781,0.0249,0.738,0.8137,7.6382,2.0644,4.5295,10.5368,0.2861,0.0387,0.2064,0.3212
stupid_loss_learner.py,500,0.6187,0.049,0.5447,0.6913,22.058,9.8796,10.8794,36.6503,1.0657,0.3148,0.5971,1.5761
stupid_loss_learner.py,1000,0.6783,0.0379,0.6003,0.7277,20.9971,9.4936,10.3772,35.8583,0.7391,0.1153,0.5338,0.9572
stupid_loss_learner.py,2000,0.7095,0.0426,0.6287,0.7537,17.9544,8.0351,9.1073,31.4482,0.5824,0.0864,0.461,0.7472
stupid_loss_learner.py,3000,0.7222,0.0432,0.6487,0.777,16.3885,5.9774,8.9479,24.8612,0.5143,0.0633,0.4064,0.6178
stupid_loss_learner.py,5000,0.7315,0.0395,0.6767,0.793,15.9423,5.9546,8.1755,23.796,0.4797,0.0696,0.3633,0.5545
stupid_loss_learner.py,7000,0.7379,0.0404,0.6703,0.7867,15.5753,6.1146,8.1199,24.9109,0.4539,0.0645,0.3429,0.5668
stupid_loss_learner.py,9000,0.7454,0.041,0.6773,0.805,14.6653,5.1846,8.0172,22.4815,0.4255,0.0744,0.293,0.5334
stupid_loss_learner.py,10000,0.7398,0.0449,0.665,0.7923,15.0465,5.6083,7.4823,23.0302,0.4462,0.0943,0.3166,0.6142
stupid_loss_learner.py,15000,0.7536,0.033,0.698,0.801,15.0906,6.0047,7.5944,23.9132,0.4076,0.0524,0.3142,0.4756
stupid_loss_learner.py,20000,0.7504,0.0345,0.693,0.788,14.2415,5.2646,7.275,22.0876,0.3978,0.0639,0.2957,0.4999
